year,month,value
1973,July,5
1973,August,4.7
1973,September,4.7
1973,October,4.2
1973,November,4.6
1973,December,4.6
1974,January,5.7
1974,February,5.8
1974,March,5.3
1974,April,4.8
1974,May,4.6
1974,June,5.8
1974,July,5.7
1974,August,5.3
1974,September,5.7
1974,October,5.5
1974,November,6.2
1974,December,6.7
1975,January,9
1975,February,9.1
1975,March,9.1
1975,April,8.6
1975,May,8.3
1975,June,9.1
1975,July,8.7
1975,August,8.2
1975,September,8.1
1975,October,7.8
1975,November,7.8
1975,December,7.8
1976,January,8.8
1976,February,8.7
1976,March,8.1
1976,April,7.4
1976,May,6.8
1976,June,8
1976,July,7.8
1976,August,7.6
1976,September,7.4
1976,October,7.2
1976,November,7.4
1976,December,7.4
1977,January,8.3
1977,February,8.5
1977,March,7.9
1977,April,6.9
1977,May,6.4
1977,June,7.5
1977,July,7
1977,August,6.8
1977,September,6.6
1977,October,6.4
1977,November,6.5
1977,December,6
1978,January,7.1
1978,February,6.9
1978,March,6.6
1978,April,5.8
1978,May,5.5
1978,June,6.2
1978,July,6.3
1978,August,5.9
1978,September,5.8
1978,October,5.4
1978,November,5.6
1978,December,5.7
1979,January,6.4
1979,February,6.4
1979,March,6.1
1979,April,5.5
1979,May,5.2
1979,June,6
1979,July,5.9
1979,August,5.9
1979,September,5.7
1979,October,5.6
1979,November,5.6
1979,December,5.7
1980,January,6.9
1980,February,6.8
1980,March,6.6
1980,April,6.7
1980,May,7.1
1980,June,7.8
1980,July,7.9
1980,August,7.6
1980,September,7.2
1980,October,7.1
1980,November,7.1
1980,December,6.9
1981,January,8.2
1981,February,8
1981,March,7.7
1981,April,7
1981,May,7.1
1981,June,7.7
1981,July,7.3
1981,August,7.2
1981,September,7.3
1981,October,7.5
1981,November,7.9
1981,December,8.3
1982,January,9.4
1982,February,9.6
1982,March,9.5
1982,April,9.2
1982,May,9.1
1982,June,9.8
1982,July,9.8
1982,August,9.6
1982,September,9.7
1982,October,9.9
1982,November,10.4
1982,December,10.5
1983,January,11.4
1983,February,11.3
1983,March,10.8
1983,April,10
1983,May,9.8
1983,June,10.2
1983,July,9.4
1983,August,9.2
1983,September,8.8
1983,October,8.4
1983,November,8.1
1983,December,8
1984,January,8.8
1984,February,8.4
1984,March,8.1
1984,April,7.6
1984,May,7.2
1984,June,7.4
1984,July,7.5
1984,August,7.3
1984,September,7.1
1984,October,7
1984,November,6.9
1984,December,7
1985,January,8
1985,February,7.8
1985,March,7.5
1985,April,7.1
1985,May,7
1985,June,7.5
1985,July,7.4
1985,August,6.9
1985,September,6.9
1985,October,6.8
1985,November,6.7
1985,December,6.7
1986,January,7.3
1986,February,7.8
1986,March,7.5
1986,April,7
1986,May,7
1986,June,7.3
1986,July,7
1986,August,6.7
1986,September,6.8
1986,October,6.6
1986,November,6.6
1986,December,6.3
1987,January,7.3
1987,February,7.2
1987,March,6.9
1987,April,6.2
1987,May,6.1
1987,June,6.3
1987,July,6.1
1987,August,5.8
1987,September,5.7
1987,October,5.7
1987,November,5.6
1987,December,5.4
1988,January,6.3
1988,February,6.2
1988,March,5.9
1988,April,5.3
1988,May,5.4
1988,June,5.5
1988,July,5.5
1988,August,5.4
1988,September,5.2
1988,October,5
1988,November,5.2
1988,December,5
1989,January,6
1989,February,5.6
1989,March,5.2
1989,April,5.1
1989,May,5
1989,June,5.5
1989,July,5.3
1989,August,5.1
1989,September,5.1
1989,October,5
1989,November,5.2
1989,December,5.1
1990,January,6
1990,February,5.9
1990,March,5.5
